0,99,81,46,85,87,73,33,111,66,47,39,46,7,36,9,58,26,37,41,37,
1,59,109,68,47,84,97,22,29,56,1,75,23,76,70,8,93,3,30,91,1,
2,79,40,93,60,74,63,19,60,70,29,25,28,110,101,16,81,106,27,12,14,
3,29,58,103,5,96,67,103,24,51,66,7,69,91,42,43,2,25,8,64,74,
4,66,67,3,101,108,41,66,32,88,12,102,66,100,35,68,45,88,16,106,11,
5,104,53,77,88,101,105,15,88,62,2,78,79,40,72,88,35,86,77,109,39,
6,23,52,20,3,52,82,58,59,96,22,107,102,107,67,44,50,17,64,22,81,
7,58,33,108,29,45,18,92,18,95,55,68,89,89,16,19,109,45,97,45,45,
8,26,106,8,4,77,58,30,79,1,16,44,98,22,52,56,87,65,108,85,52,
9,108,18,67,34,8,26,11,9,92,106,13,99,38,90,65,18,0,34,29,41,
10,94,46,66,28,32,85,7,23,35,59,69,32,4,83,90,64,58,71,67,85,
11,9,92,55,46,78,59,64,26,106,110,101,41,54,108,89,57,4,24,75,55,
12,76,59,54,23,102,53,106,16,60,40,105,74,94,1,92,78,40,72,16,69,
13,7,24,18,30,49,38,67,25,40,51,19,26,8,102,27,22,15,57,98,4,
14,71,107,100,108,56,22,63,49,52,54,1,25,6,31,1,63,103,84,88,40,
15,87,99,88,51,31,12,98,69,80,102,10,20,33,56,47,49,46,68,53,87,
16,70,93,30,67,59,3,54,95,84,97,24,86,29,109,31,39,82,86,51,94,
17,45,1,45,59,82,60,36,57,90,92,32,96,17,29,85,86,2,21,68,80,
18,44,43,33,65,100,86,69,22,11,91,17,45,102,15,41,107,19,25,108,42,
19,35,8,15,63,79,91,82,91,8,27,6,18,105,37,71,76,77,51,65,67,
20,88,15,37,24,90,98,61,93,9,62,37,33,41,104,51,15,41,35,36,100,
21,74,108,17,82,15,35,87,39,42,49,23,1,48,22,36,44,5,93,74,38,
22,101,98,95,44,61,107,37,4,15,4,29,13,70,65,86,89,57,74,93,110,
23,3,97,57,21,1,109,47,99,104,77,79,106,50,68,111,42,107,26,2,98,
24,18,71,51,99,30,42,73,0,21,83,28,11,104,106,18,51,95,81,4,103,
25,100,47,10,39,111,88,97,47,6,98,34,105,59,34,42,16,71,55,19,35,
26,53,60,94,32,4,48,53,106,48,13,82,100,27,92,63,73,28,107,10,57,
27,63,31,73,110,85,55,60,13,58,79,21,77,109,87,5,90,67,40,0,20,
28,47,89,25,6,99,13,86,2,109,99,45,104,78,38,28,67,73,41,73,64,
